e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,0.75,3.0,3,1,0,0,0,0,2.0,7.535e-04,5.0,8.709e+00,1.897329515720969e-09
40000.0,0.75,3.0,3,1,0,0,0,0,5.0,1.075e-15,5.0,2.041e-30,2.3670732596237087e-09
40000.0,0.75,3.0,3,0,0,1,0,0,11.0,3.637e-39,18.0,1.524e-40,1.2030520607497763e-09
40000.0,0.75,3.0,3,1,0,0,0,0,1.0,1.113e-06,14.0,3.693e-17,-1.4991552346743653e-08
40000.0,1.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.066218495437976e-09
40000.0,1.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,7.555988230933952e-10
40000.0,1.0,3.0,3,0,1,0,0,0,13.0,2.566e-08,19.0,2.224e-13,7.047569194895686e-10
40000.0,1.0,3.0,3,1,0,0,0,0,-0.0,4.248e-07,8.0,1.890e-15,-7.807145319116415e-09
40000.0,1.0,3.0,3,1,0,0,0,0,2.0,4.694e-03,11.0,1.026e+01,-2.492475351112411e-09
40000.0,1.0,3.0,3,1,0,0,0,0,2.0,2.416e-25,13.0,6.484e-01,-4.433996253494499e-09
40000.0,1.0,3.0,3,1,0,0,0,0,5.0,6.159e-17,15.0,7.236e-40,-3.2805066302321606e-09
40000.0,1.0,3.0,3,1,0,0,0,0,6.0,2.305e-42,9.0,4.673e-42,7.725227541000024e-10
40000.0,1.0,3.0,3,1,0,0,0,0,6.0,8.719e-11,21.0,8.447e-41,-2.4227778117058563e-09
40000.0,1.0,3.0,3,1,0,0,0,0,2.0,5.742e-03,8.0,1.245e-37,1.6544689229736065e-10
40000.0,1.25,3.0,3,0,1,0,0,0,12.0,1.196e-05,25.0,5.845e-01,1.3261794371000057e-09
40000.0,1.25,3.0,3,1,0,0,0,0,6.0,1.836e-42,22.0,5.111e-02,-2.8298013932115396e-09
40000.0,1.25,3.0,3,1,0,0,0,0,0.0,2.294e-16,9.0,3.842e-23,-1.4935947992289478e-08
40000.0,1.25,3.0,3,1,0,0,0,0,2.0,1.920e-11,20.0,3.495e-16,-7.62738015802622e-09
