r1 r2 r3 energy
2.805263 1.203390 3.997151 -546.789988
2.921053 1.203390 4.112802 -546.797205
3.036842 1.203390 4.228461 -546.798588
3.152632 1.203390 4.344127 -546.799297
3.268421 1.203390 4.459799 -546.798876
3.384211 1.203390 4.575477 -546.798431
3.500000 1.203390 4.691161 -546.797827
2.805263 1.305085 4.098182 -546.791631
2.921053 1.305085 4.213817 -546.796670
3.036842 1.305085 4.329459 -546.798321
3.152632 1.305085 4.445110 -546.798074
3.268421 1.305085 4.560768 -546.794307
3.384211 1.305085 4.676432 -546.792851
3.500000 1.305085 4.792102 -546.791272
2.805263 1.406780 4.199245 -546.781513
2.921053 1.406780 4.314863 -546.794402
3.036842 1.406780 4.430490 -546.793447
3.152632 1.406780 4.546125 -546.789955
3.268421 1.406780 4.661768 -546.785548
3.384211 1.406780 4.777418 -546.781605
2.921053 1.508475 4.415939 -546.783869
3.036842 1.508475 4.531550 -546.790111
3.152632 1.508475 4.647170 -546.784971
3.036842 1.610169 4.632638 -546.795377
3.036842 1.711864 4.733752 -546.787331
3.152632 1.711864 4.849341 -546.804153
3.268421 1.711864 4.964939 -546.796455
3.152632 1.813559 4.950464 -546.808118
3.384211 1.813559 5.181640 -546.789972
3.152632 1.915254 5.051610 -546.803208
3.268421 1.915254 5.167179 -546.825078
3.384211 1.915254 5.282757 -546.811033
3.500000 1.915254 5.398345 -546.803688
3.268421 2.016949 5.268332 -546.823280
3.384211 2.016949 5.383896 -546.834643
3.500000 2.016949 5.499470 -546.815348
3.384211 2.118644 5.485055 -546.834989
3.500000 2.118644 5.600615 -546.839591
3.384211 2.220339 5.586234 -546.796071
3.500000 2.220339 5.701780 -546.844825
3.500000 2.322034 5.802964 -546.815288
1.300000 2.830508 4.118341 -546.784094
1.531579 2.830508 4.348512 -546.798295
1.300000 2.932203 4.219901 -546.787598
1.415789 2.932203 4.334951 -546.802125
1.531579 2.932203 4.450040 -546.800360
1.647368 2.932203 4.565163 -546.805019
1.415789 3.033898 4.436503 -546.816850
1.531579 3.033898 4.551575 -546.796036
1.647368 3.033898 4.666683 -546.821955
1.763158 3.033898 4.781823 -546.794447
1.300000 3.135593 4.423042 -546.783814
1.415789 3.135593 4.538060 -546.819254
1.531579 3.135593 4.653117 -546.803927
1.647368 3.135593 4.768209 -546.806370
1.763158 3.135593 4.883335 -546.820951
1.878947 3.135593 4.998491 -546.800170
1.300000 3.237288 4.524620 -546.803019
1.415789 3.237288 4.639624 -546.818581
1.531579 3.237288 4.754666 -546.808817
1.647368 3.237288 4.869743 -546.804165
1.763158 3.237288 4.984854 -546.814167
1.878947 3.237288 5.099995 -546.826317
1.994737 3.237288 5.215164 -546.817570
1.300000 3.338983 4.626204 -546.818189
1.415789 3.338983 4.741193 -546.831253
1.531579 3.338983 4.856221 -546.810898
1.647368 3.338983 4.971284 -546.805753
1.763158 3.338983 5.086379 -546.807749
1.878947 3.338983 5.201506 -546.819889
1.994737 3.338983 5.316662 -546.840778
2.110526 3.338983 5.431844 -546.828824
1.300000 3.440678 4.727792 -546.824179
1.415789 3.440678 4.842768 -546.835829
1.531579 3.440678 4.957781 -546.812965
1.647368 3.440678 5.072830 -546.803713
1.763158 3.440678 5.187912 -546.807682
1.878947 3.440678 5.303025 -546.802796
1.994737 3.440678 5.418166 -546.824209
2.110526 3.440678 5.533334 -546.845107
2.226316 3.440678 5.648528 -546.828936
1.300000 3.542373 4.829385 -546.829358
1.415789 3.542373 4.944347 -546.841225
1.531579 3.542373 5.059347 -546.818090
1.647368 3.542373 5.174383 -546.792051
1.763158 3.542373 5.289451 -546.798726
1.878947 3.542373 5.404550 -546.802659
1.994737 3.542373 5.519677 -546.797157
2.110526 3.542373 5.634832 -546.832449
2.226316 3.542373 5.750013 -546.848975
2.342105 3.542373 5.865217 -546.829578
1.300000 3.644068 4.930982 -546.833880
1.415789 3.644068 5.045932 -546.846671
1.531579 3.644068 5.160918 -546.823735
1.647368 3.644068 5.275940 -546.785799
1.763158 3.644068 5.390995 -546.793353
1.878947 3.644068 5.506081 -546.790908
1.994737 3.644068 5.621196 -546.786317
2.110526 3.644068 5.736337 -546.805562
2.226316 3.644068 5.851505 -546.839313
2.342105 3.644068 5.966696 -546.852249
2.457895 3.644068 6.081910 -546.827586
1.300000 3.745763 5.032583 -546.837408
1.415789 3.745763 5.147520 -546.851205
1.531579 3.745763 5.262494 -546.829129
1.647368 3.745763 5.377504 -546.790006
1.878947 3.745763 5.607618 -546.783668
1.994737 3.745763 5.722720 -546.781068
2.110526 3.745763 5.837849 -546.785884
2.226316 3.745763 5.953003 -546.814662
2.342105 3.745763 6.068182 -546.843279
2.457895 3.745763 6.183383 -546.854604
2.573684 3.745763 6.298607 -546.829692
1.300000 3.847458 5.134188 -546.838186
1.415789 3.847458 5.249113 -546.854874
1.531579 3.847458 5.364075 -546.833740
1.647368 3.847458 5.479071 -546.795698
1.763158 3.847458 5.594101 -546.780220
2.110526 3.847458 5.939367 -546.781532
2.226316 3.847458 6.054509 -546.789068
2.342105 3.847458 6.169675 -546.819774
2.457895 3.847458 6.284864 -546.849078
2.573684 3.847458 6.400075 -546.856320
2.689474 3.847458 6.515306 -546.824035
1.300000 3.949153 5.235796 -546.840261
1.415789 3.949153 5.350709 -546.858020
1.531579 3.949153 5.465659 -546.837929
1.647368 3.949153 5.580644 -546.801820
1.763158 3.949153 5.695661 -546.784695
2.226316 3.949153 6.156020 -546.785599
2.342105 3.949153 6.271174 -546.793187
2.457895 3.949153 6.386351 -546.823661
2.573684 3.949153 6.501550 -546.850089
2.689474 3.949153 6.616770 -546.858169
2.805263 3.949153 6.732009 -546.826084
1.300000 4.050847 5.337408 -546.841527
1.415789 4.050847 5.452310 -546.860026
1.531579 4.050847 5.567248 -546.840760
1.647368 4.050847 5.682221 -546.805796
1.763158 4.050847 5.797227 -546.789626
2.226316 4.050847 6.257538 -546.781170
2.342105 4.050847 6.372680 -546.790332
2.457895 4.050847 6.487845 -546.796856
2.573684 4.050847 6.603032 -546.826504
2.689474 4.050847 6.718240 -546.853556
2.805263 4.050847 6.833468 -546.858542
2.921053 4.050847 6.948714 -546.826958
1.300000 4.152542 5.439023 -546.842288
1.415789 4.152542 5.553913 -546.861333
1.531579 4.152542 5.668840 -546.842716
1.647368 4.152542 5.783802 -546.808680
1.763158 4.152542 5.898796 -546.793223
1.878947 4.152542 6.013821 -546.783551
2.342105 4.152542 6.474192 -546.785143
2.457895 4.152542 6.589345 -546.794640
2.573684 4.152542 6.704521 -546.799589
2.689474 4.152542 6.819717 -546.832977
2.805263 4.152542 6.934934 -546.856831
2.921053 4.152542 7.050169 -546.858821
3.036842 4.152542 7.165421 -546.820745
1.300000 4.254237 5.540640 -546.842677
1.415789 4.254237 5.655520 -546.862124
1.531579 4.254237 5.770437 -546.844010
1.647368 4.254237 5.885387 -546.810723
1.763158 4.254237 6.000370 -546.796137
1.878947 4.254237 6.115383 -546.787028
2.342105 4.254237 6.575709 -546.780461
2.457895 4.254237 6.690851 -546.789352
2.573684 4.254237 6.806016 -546.797301
2.689474 4.254237 6.921201 -546.806385
2.805263 4.254237 7.036406 -546.836549
2.921053 4.254237 7.151630 -546.857468
3.036842 4.254237 7.266872 -546.858141
3.152632 4.254237 7.382131 -546.822742
1.300000 4.355932 5.642261 -546.842797
1.415789 4.355932 5.757130 -546.862519
1.531579 4.355932 5.872036 -546.844766
1.647368 4.355932 5.986976 -546.812043
1.763158 4.355932 6.101948 -546.798309
1.878947 4.355932 6.216950 -546.789841
1.994737 4.355932 6.331981 -546.781688
2.457895 4.355932 6.792363 -546.784117
2.573684 4.355932 6.907516 -546.792415
2.689474 4.355932 7.022691 -546.799701
2.805263 4.355932 7.137885 -546.819935
2.921053 4.355932 7.253098 -546.836417
3.036842 4.355932 7.368329 -546.858836
3.152632 4.355932 7.483578 -546.858619
3.268421 4.355932 7.598843 -546.819055
1.300000 4.457627 5.743884 -546.842744
1.415789 4.457627 5.858743 -546.862644
1.531579 4.457627 5.973639 -546.845135
1.647368 4.457627 6.088568 -546.812816
1.763158 4.457627 6.203530 -546.799840
1.878947 4.457627 6.318521 -546.792360
1.994737 4.457627 6.433541 -546.784026
2.573684 4.457627 7.009023 -546.786653
2.689474 4.457627 7.124186 -546.795140
2.805263 4.457627 7.239370 -546.819063
2.921053 4.457627 7.354573 -546.820521
3.036842 4.457627 7.469793 -546.838850
3.152632 4.457627 7.585031 -546.859383
3.268421 4.457627 7.700286 -546.856448
3.384211 4.457627 7.815556 -546.817229
1.300000 4.559322 5.845509 -546.842570
1.415789 4.559322 5.960359 -546.862579
1.531579 4.559322 6.075245 -546.845233
1.647368 4.559322 6.190164 -546.813195
1.763158 4.559322 6.305115 -546.800978
1.878947 4.559322 6.420096 -546.793939
1.994737 4.559322 6.535106 -546.785943
2.689474 4.559322 7.225687 -546.789087
2.805263 4.559322 7.340861 -546.812622
2.921053 4.559322 7.456053 -546.819889
3.152632 4.559322 7.686491 -546.841044
3.268421 4.559322 7.801736 -546.860031
3.384211 4.559322 7.916996 -546.856855
3.500000 4.559322 8.032272 -546.813768
1.300000 4.661017 5.947137 -546.842329
1.415789 4.661017 6.061978 -546.862396
1.531579 4.661017 6.176853 -546.845149
1.647368 4.661017 6.291763 -546.813297
1.763158 4.661017 6.406704 -546.801778
1.878947 4.661017 6.521675 -546.795070
1.994737 4.661017 6.636674 -546.787374
2.689474 4.661017 7.327194 -546.784418
2.805263 4.661017 7.442357 -546.804132
2.921053 4.661017 7.557539 -546.813474
3.036842 4.661017 7.672739 -546.803220
3.268421 4.661017 7.903192 -546.842746
3.384211 4.661017 8.018442 -546.859652
3.500000 4.661017 8.133708 -546.855533
1.300000 4.762712 6.048767 -546.842062
1.415789 4.762712 6.163599 -546.862154
1.531579 4.762712 6.278465 -546.844961
1.763158 4.762712 6.508296 -546.819749
1.878947 4.762712 6.623257 -546.795846
1.994737 4.762712 6.738247 -546.788382
2.110526 4.762712 6.853263 -546.782151
2.689474 4.762712 7.428706 -546.780724
2.805263 4.762712 7.543859 -546.795654
2.921053 4.762712 7.659031 -546.805347
3.036842 4.762712 7.774221 -546.799216
3.152632 4.762712 7.889429 -546.803680
3.384211 4.762712 8.119895 -546.843414
3.500000 4.762712 8.235151 -546.860433
1.300000 4.864407 6.150400 -546.841773
1.415789 4.864407 6.265222 -546.861867
1.531579 4.864407 6.380079 -546.844698
1.763158 4.864407 6.609891 -546.802707
1.878947 4.864407 6.724843 -546.796411
1.994737 4.864407 6.839823 -546.800955
2.110526 4.864407 6.954829 -546.783056
2.689474 4.864407 7.530222 -546.781141
2.805263 4.864407 7.645365 -546.787954
2.921053 4.864407 7.760528 -546.796501
3.036842 4.864407 7.875708 -546.806796
3.152632 4.864407 7.990906 -546.799584
3.268421 4.864407 8.106122 -546.804130
3.384211 4.864407 8.221353 -546.817741
3.500000 4.864407 8.336600 -546.844721
1.300000 4.966102 6.252034 -546.841486
1.415789 4.966102 6.366848 -546.861567
1.531579 4.966102 6.481696 -546.844402
1.763158 4.966102 6.711490 -546.802974
1.878947 4.966102 6.826432 -546.796802
1.994737 4.966102 6.941402 -546.790112
2.110526 4.966102 7.056399 -546.790802
2.226316 4.966102 7.171422 -546.782933
2.805263 4.966102 7.746877 -546.782515
2.921053 4.966102 7.862030 -546.782681
3.036842 4.966102 7.977201 -546.797915
3.152632 4.966102 8.092389 -546.793981
3.268421 4.966102 8.207595 -546.800298
3.384211 4.966102 8.322817 -546.804259
3.500000 4.966102 8.438054 -546.819382
1.300000 5.067797 6.353670 -546.841214
1.415789 5.067797 6.468475 -546.861276
1.531579 5.067797 6.583315 -546.844103
1.763158 5.067797 6.813091 -546.803154
1.878947 5.067797 6.928024 -546.797065
1.994737 5.067797 7.042985 -546.790469
2.110526 5.067797 7.157972 -546.784156
2.226316 5.067797 7.272986 -546.780476
2.921053 5.067797 7.963537 -546.780498
3.036842 5.067797 8.078698 -546.783666
3.152632 5.067797 8.193878 -546.798661
3.268421 5.067797 8.309074 -546.795017
3.384211 5.067797 8.424287 -546.800660
3.500000 5.067797 8.539515 -546.804597
1.300000 5.169492 6.455308 -546.840949
1.415789 5.169492 6.570105 -546.860985
1.647368 5.169492 6.799800 -546.812175
1.763158 5.169492 6.914695 -546.803282
1.878947 5.169492 7.029619 -546.797253
1.994737 5.169492 7.144571 -546.790724
2.110526 5.169492 7.259549 -546.784483
2.226316 5.169492 7.374553 -546.780862
3.036842 5.169492 8.180201 -546.781132
3.152632 5.169492 8.295371 -546.783983
3.268421 5.169492 8.410558 -546.789379
3.384211 5.169492 8.525762 -546.795169
3.500000 5.169492 8.640981 -546.801181
1.300000 5.271186 6.556948 -546.840700
1.415789 5.271186 6.671737 -546.860710
1.647368 5.271186 6.901415 -546.811868
1.763158 5.271186 7.016301 -546.803371
1.878947 5.271186 7.131217 -546.797382
1.994737 5.271186 7.246160 -546.790900
2.110526 5.271186 7.361129 -546.791830
2.226316 5.271186 7.476124 -546.781130
3.152632 5.271186 8.396869 -546.781391
3.268421 5.271186 8.512047 -546.791477
3.384211 5.271186 8.627242 -546.789535
3.500000 5.271186 8.742452 -546.795785
1.300000 5.372881 6.658590 -546.840472
1.647368 5.372881 7.003033 -546.811581
1.763158 5.372881 7.117911 -546.803431
1.878947 5.372881 7.232817 -546.797470
1.994737 5.372881 7.347752 -546.791017
2.110526 5.372881 7.462712 -546.791984
2.226316 5.372881 7.577698 -546.781310
3.152632 5.372881 8.498372 -546.780686
3.268421 5.372881 8.613541 -546.785400
3.384211 5.372881 8.728727 -546.791960
3.500000 5.372881 8.843928 -546.801236
1.300000 5.474576 6.760233 -546.840256
1.415789 5.474576 6.875007 -546.859977
1.647368 5.474576 7.104653 -546.811300
1.763158 5.474576 7.219522 -546.803475
1.878947 5.474576 7.334420 -546.797533
1.994737 5.474576 7.449346 -546.791102
2.110526 5.474576 7.564298 -546.792094
2.226316 5.474576 7.679276 -546.781449
2.342105 5.474576 7.794277 -546.780247
3.268421 5.474576 8.715040 -546.781122
3.384211 5.474576 8.830217 -546.785556
3.500000 5.474576 8.945410 -546.792775
1.300000 5.576271 6.861878 -546.840056
1.415789 5.576271 6.976644 -546.859752
1.647368 5.576271 7.206275 -546.811037
1.763158 5.576271 7.321136 -546.803507
1.878947 5.576271 7.436026 -546.797577
1.994737 5.576271 7.550944 -546.791161
2.110526 5.576271 7.665888 -546.792170
2.226316 5.576271 7.780856 -546.784582
2.342105 5.576271 7.895849 -546.780340
3.384211 5.576271 8.931712 -546.781233
3.500000 5.576271 9.046896 -546.786168
1.300000 5.677966 6.963524 -546.839876
1.415789 5.677966 7.078283 -546.859549
1.531579 5.677966 7.193075 -546.842499
1.647368 5.677966 7.307899 -546.810799
1.763158 5.677966 7.422752 -546.803530
1.878947 5.677966 7.537634 -546.797608
1.994737 5.677966 7.652544 -546.802535
2.110526 5.677966 7.767479 -546.792222
2.226316 5.677966 7.882440 -546.784641
2.342105 5.677966 7.997425 -546.780400
3.500000 5.677966 9.148387 -546.781745
1.300000 5.779661 7.065172 -546.839707
1.415789 5.779661 7.179924 -546.859358
1.531579 5.779661 7.294708 -546.842290
1.647368 5.779661 7.409524 -546.810572
1.763158 5.779661 7.524370 -546.803547
1.878947 5.779661 7.639245 -546.812295
1.994737 5.779661 7.754146 -546.802566
2.110526 5.779661 7.869074 -546.792260
2.226316 5.779661 7.984026 -546.784684
2.342105 5.779661 8.099003 -546.780442
1.300000 5.881356 7.166821 -546.839552
1.415789 5.881356 7.281566 -546.859183
1.531579 5.881356 7.396343 -546.842098
1.647368 5.881356 7.511152 -546.810363
1.763158 5.881356 7.625991 -546.803561
1.878947 5.881356 7.740857 -546.797649
1.994737 5.881356 7.855751 -546.802588
2.110526 5.881356 7.970671 -546.792287
2.226316 5.881356 8.085615 -546.784715
2.342105 5.881356 8.200584 -546.780471
1.300000 5.983051 7.268471 -546.839414
1.415789 5.983051 7.383209 -546.859027
1.531579 5.983051 7.497980 -546.841926
1.647368 5.983051 7.612782 -546.810498
1.763158 5.983051 7.727613 -546.803572
1.878947 5.983051 7.842472 -546.797663
1.994737 5.983051 7.957358 -546.802605
2.110526 5.983051 8.072270 -546.792307
2.226316 5.983051 8.187207 -546.784736
2.342105 5.983051 8.302168 -546.780490
1.300000 6.084746 7.370122 -546.839286
1.415789 6.084746 7.484854 -546.858881
1.531579 6.084746 7.599618 -546.841766
1.647368 6.084746 7.714413 -546.810322
1.763158 6.084746 7.829237 -546.803582
1.878947 6.084746 7.944089 -546.797674
1.994737 6.084746 8.058968 -546.791283
2.110526 6.084746 8.173872 -546.792323
2.226316 6.084746 8.288801 -546.784753
2.342105 6.084746 8.403754 -546.780505
1.300000 6.186441 7.471775 -546.839169
1.415789 6.186441 7.586500 -546.858749
1.531579 6.186441 7.701258 -546.841620
1.647368 6.186441 7.816046 -546.810162
1.763158 6.186441 7.930863 -546.803592
1.878947 6.186441 8.045708 -546.797684
1.994737 6.186441 8.160579 -546.791294
2.110526 6.186441 8.275476 -546.785206
2.226316 6.186441 8.390398 -546.784766
2.342105 6.186441 8.505343 -546.780517
1.300000 6.288136 7.573429 -546.839065
1.415789 6.288136 7.688148 -546.858631
1.531579 6.288136 7.802899 -546.841490
1.647368 6.288136 7.917680 -546.810020
1.763158 6.288136 8.032490 -546.803600
1.878947 6.288136 8.147328 -546.797693
1.994737 6.288136 8.262193 -546.791304
2.110526 6.288136 8.377083 -546.785216
2.226316 6.288136 8.491997 -546.784776
2.342105 6.288136 8.606935 -546.780526
1.300000 6.389831 7.675083 -546.838968
1.415789 6.389831 7.789797 -546.858521
1.531579 6.389831 7.904542 -546.841369
1.647368 6.389831 8.019316 -546.809888
1.763158 6.389831 8.134120 -546.803608
1.878947 6.389831 8.248951 -546.797702
1.994737 6.389831 8.363808 -546.791313
2.110526 6.389831 8.478691 -546.785226
2.342105 6.389831 8.708529 -546.780534
1.300000 6.491525 7.776739 -546.838880
1.415789 6.491525 7.891447 -546.858421
1.531579 6.491525 8.006185 -546.841260
1.647368 6.491525 8.120954 -546.809767
1.763158 6.491525 8.235751 -546.803617
1.878947 6.491525 8.350575 -546.797710
1.994737 6.491525 8.465426 -546.791321
2.110526 6.491525 8.580302 -546.785234
2.226316 6.491525 8.695202 -546.782210
2.342105 6.491525 8.810125 -546.780541
1.300000 6.593220 7.878396 -546.838799
1.415789 6.593220 7.993098 -546.858330
1.531579 6.593220 8.107830 -546.841160
1.647368 6.593220 8.222593 -546.809658
1.763158 6.593220 8.337383 -546.803625
1.878947 6.593220 8.452201 -546.797719
1.994737 6.593220 8.567045 -546.791329
2.110526 6.593220 8.681914 -546.785243
2.226316 6.593220 8.796808 -546.782218
1.300000 6.694915 7.980054 -546.838726
1.415789 6.694915 8.094750 -546.858249
1.531579 6.694915 8.209477 -546.841071
1.647368 6.694915 8.324233 -546.809561
1.763158 6.694915 8.439017 -546.803633
1.878947 6.694915 8.553829 -546.797727
1.994737 6.694915 8.668666 -546.791337
2.110526 6.694915 8.783529 -546.785251
2.226316 6.694915 8.898415 -546.782226
2.342105 6.694915 9.013325 -546.780001
1.300000 6.796610 8.081713 -546.838658
1.415789 6.796610 8.196403 -546.858172
1.531579 6.796610 8.311124 -546.840987
1.647368 6.796610 8.425875 -546.809470
1.763158 6.796610 8.540653 -546.803641
1.878947 6.796610 8.655458 -546.797735
1.994737 6.796610 8.770289 -546.791346
2.110526 6.796610 8.885145 -546.785930
2.226316 6.796610 9.000025 -546.782234
2.342105 6.796610 9.114928 -546.780008
1.300000 6.898305 8.183373 -546.838595
1.415789 6.898305 8.298058 -546.858102
1.531579 6.898305 8.412773 -546.840911
1.647368 6.898305 8.527517 -546.809387
1.763158 6.898305 8.642290 -546.803649
1.878947 6.898305 8.757089 -546.797743
1.994737 6.898305 8.871914 -546.791354
2.110526 6.898305 8.986763 -546.785938
2.226316 6.898305 9.101636 -546.782242
2.342105 6.898305 9.216533 -546.780016
1.300000 7.000000 8.285033 -546.838539
1.415789 7.000000 8.399713 -546.858039
1.531579 7.000000 8.514423 -546.840842
1.647368 7.000000 8.629162 -546.809312
1.763158 7.000000 8.743928 -546.803656
1.878947 7.000000 8.858721 -546.797751
1.994737 7.000000 8.973540 -546.791362
2.110526 7.000000 9.088383 -546.785947
2.226316 7.000000 9.203250 -546.782250
2.342105 7.000000 9.318140 -546.780023
3.384211 1.101695 4.440644 -546.781293
3.500000 1.101695 4.556067 -546.782543
2.689474 1.203390 3.847553 -546.794612
2.805263 1.203390 3.962761 -546.801993
2.921053 1.203390 4.078002 -546.804383
3.036842 1.203390 4.193274 -546.801879
3.152632 1.203390 4.308573 -546.800776
3.268421 1.203390 4.423898 -546.799463
3.384211 1.203390 4.539246 -546.798486
3.500000 1.203390 4.654617 -546.798004
2.689474 1.305085 3.946661 -546.799535
2.805263 1.305085 4.061800 -546.806120
2.921053 1.305085 4.176975 -546.805750
3.036842 1.305085 4.292184 -546.803722
3.152632 1.305085 4.407422 -546.798600
3.268421 1.305085 4.522689 -546.796366
3.384211 1.305085 4.637982 -546.794784
3.500000 1.305085 4.753299 -546.793328
2.689474 1.406780 4.045898 -546.798722
2.805263 1.406780 4.160968 -546.808517
2.921053 1.406780 4.276076 -546.805784
3.036842 1.406780 4.391221 -546.799213
3.152632 1.406780 4.506398 -546.793434
3.268421 1.406780 4.621606 -546.787813
3.384211 1.406780 4.736842 -546.781073
2.805263 1.508475 4.260254 -546.804560
2.921053 1.508475 4.375296 -546.806680
3.036842 1.508475 4.490377 -546.797262
3.152632 1.508475 4.605492 -546.787388
2.805263 1.610169 4.359652 -546.795181
2.921053 1.610169 4.474627 -546.808958
3.152632 1.610169 4.704698 -546.787633
3.384211 1.610169 4.934909 -546.782137
2.805263 1.711864 4.459153 -546.789515
2.921053 1.711864 4.574062 -546.811415
3.036842 1.711864 4.689015 -546.811275
3.152632 1.711864 4.804007 -546.801938
3.268421 1.711864 4.919037 -546.783133
3.036842 1.813559 4.788483 -546.823099
3.152632 1.813559 4.903415 -546.811146
3.268421 1.813559 5.018385 -546.798418
3.384211 1.813559 5.133393 -546.785605
3.500000 1.813559 5.248435 -546.793771
2.921053 1.915254 4.773218 -546.794748
3.036842 1.915254 4.888043 -546.831572
3.152632 1.915254 5.002914 -546.829789
3.268421 1.915254 5.117825 -546.807957
3.384211 1.915254 5.232776 -546.797336
3.500000 1.915254 5.347762 -546.787684
3.036842 2.016949 4.987690 -546.821090
3.152632 2.016949 5.102500 -546.840962
3.268421 2.016949 5.217352 -546.831172
3.384211 2.016949 5.332246 -546.807468
3.500000 2.016949 5.447177 -546.797355
3.036842 2.118644 5.087417 -546.793950
3.152632 2.118644 5.202167 -546.839314
3.268421 2.118644 5.316962 -546.844505
3.384211 2.118644 5.431798 -546.827766
3.500000 2.118644 5.546675 -546.801241
3.152632 2.220339 5.301911 -546.815889
3.268421 2.220339 5.416648 -546.848837
3.384211 2.220339 5.531429 -546.845252
3.500000 2.220339 5.646251 -546.822541
3.268421 2.322034 5.516408 -546.835601
3.384211 2.322034 5.631133 -546.852988
3.500000 2.322034 5.745901 -546.842104
3.268421 2.423729 5.616238 -546.812792
3.384211 2.423729 5.730908 -546.849440
3.500000 2.423729 5.845622 -546.852341
3.384211 2.525424 5.830748 -546.829533
3.500000 2.525424 5.945409 -546.855572
1.300000 2.627119 3.879712 -546.786592
1.415789 2.627119 3.992749 -546.807141
3.384211 2.627119 5.930652 -546.800220
3.500000 2.627119 6.045260 -546.847623
1.300000 2.728814 3.980819 -546.794328
1.415789 2.728814 4.093785 -546.824755
1.531579 2.728814 4.206904 -546.828361
1.647368 2.728814 4.320165 -546.781274
3.500000 2.728814 6.145172 -546.828784
1.300000 2.830508 4.081954 -546.789959
1.415789 2.830508 4.194852 -546.837819
1.531579 2.830508 4.307903 -546.836859
1.647368 2.830508 4.421095 -546.826295
1.763158 2.830508 4.534419 -546.791912
3.500000 2.830508 6.245141 -546.786029
1.300000 2.932203 4.183117 -546.784437
1.415789 2.932203 4.295949 -546.834076
1.531579 2.932203 4.408933 -546.828255
1.647368 2.932203 4.522060 -546.840808
1.763158 2.932203 4.635318 -546.825293
1.878947 2.932203 4.748698 -546.809055
1.300000 3.033898 4.284305 -546.793470
1.415789 3.033898 4.397073 -546.826120
1.531579 3.033898 4.509994 -546.835004
1.647368 3.033898 4.623057 -546.827437
1.763158 3.033898 4.736251 -546.836128
1.878947 3.033898 4.849568 -546.840902
1.994737 3.033898 4.962999 -546.835616
2.110526 3.033898 5.076537 -546.800738
1.300000 3.135593 4.385517 -546.810028
1.415789 3.135593 4.498223 -546.831657
1.531579 3.135593 4.611082 -546.830697
1.647368 3.135593 4.724083 -546.826106
1.763158 3.135593 4.837216 -546.830218
1.878947 3.135593 4.950472 -546.845115
1.994737 3.135593 5.063842 -546.856068
2.110526 3.135593 5.177319 -546.852383
2.226316 3.135593 5.290897 -546.819850
1.300000 3.237288 4.486751 -546.822765
1.415789 3.237288 4.599398 -546.843897
1.531579 3.237288 4.712197 -546.833162
1.647368 3.237288 4.825138 -546.825553
1.763158 3.237288 4.938211 -546.827501
1.878947 3.237288 5.051407 -546.825264
1.994737 3.237288 5.164718 -546.849011
2.110526 3.237288 5.278136 -546.863436
2.226316 3.237288 5.391656 -546.857852
2.342105 3.237288 5.505270 -546.832496
1.300000 3.338983 4.588004 -546.833277
1.415789 3.338983 4.700594 -546.850381
1.531579 3.338983 4.813336 -546.830639
1.763158 3.338983 5.039234 -546.822383
1.994737 3.338983 5.265625 -546.833218
2.110526 3.338983 5.378987 -546.845099
2.226316 3.338983 5.492450 -546.860232
2.342105 3.338983 5.606007 -546.858680
2.457895 3.338983 5.719655 -546.836744
2.573684 3.338983 5.833386 -546.797913
1.300000 3.440678 4.689277 -546.834581
1.415789 3.440678 4.801812 -546.850761
1.531579 3.440678 4.914498 -546.829543
1.647368 3.440678 5.027325 -546.809452
1.763158 3.440678 5.140283 -546.814406
1.878947 3.440678 5.253365 -546.819846
1.994737 3.440678 5.366563 -546.813854
2.110526 3.440678 5.479868 -546.814074
2.226316 3.440678 5.593276 -546.841688
2.342105 3.440678 5.706779 -546.857074
2.457895 3.440678 5.820372 -546.859045
