r1 r2 r3 energy
3.126575 1.831034 1.300000 -546.663257
3.202362 1.906897 1.300000 -546.665971
3.278153 1.982759 1.300000 -546.667382
3.353946 2.058621 1.300000 -546.668359
3.429743 2.134483 1.300000 -546.668877
3.505543 2.210345 1.300000 -546.669233
3.581345 2.286207 1.300000 -546.669447
3.657150 2.362069 1.300000 -546.669583
3.732957 2.437931 1.300000 -546.669665
3.808767 2.513793 1.300000 -546.669716
3.884578 2.589655 1.300000 -546.669765
3.960392 2.665517 1.300000 -546.669845
4.036207 2.741379 1.300000 -546.669908
4.112024 2.817241 1.300000 -546.669950
4.187842 2.893103 1.300000 -546.669968
4.263662 2.968966 1.300000 -546.669996
4.339484 3.044828 1.300000 -546.677007
4.415307 3.120690 1.300000 -546.700749
4.491131 3.196552 1.300000 -546.718405
4.566957 3.272414 1.300000 -546.727689
4.642783 3.348276 1.300000 -546.735771
4.718611 3.424138 1.300000 -546.741248
3.278070 1.906897 1.375862 -546.663527
3.353856 1.982759 1.375862 -546.665921
3.429645 2.058621 1.375862 -546.667558
3.505437 2.134483 1.375862 -546.668415
3.581232 2.210345 1.375862 -546.669005
3.657030 2.286207 1.375862 -546.669362
3.732831 2.362069 1.375862 -546.669547
3.808634 2.437931 1.375862 -546.669685
3.960247 2.589655 1.375862 -546.669806
4.036056 2.665517 1.375862 -546.669844
4.111868 2.741379 1.375862 -546.669900
4.187681 2.817241 1.375862 -546.669963
4.263496 2.893103 1.375862 -546.671869
4.339313 2.968966 1.375862 -546.685790
4.415131 3.044828 1.375862 -546.706200
4.490951 3.120690 1.375862 -546.711292
4.566772 3.196552 1.375862 -546.727728
4.642594 3.272414 1.375862 -546.738879
4.718418 3.348276 1.375862 -546.748671
4.794243 3.424138 1.375862 -546.756070
3.353786 1.906897 1.451724 -546.660131
3.429566 1.982759 1.451724 -546.663729
3.505351 2.058621 1.451724 -546.666331
3.581138 2.134483 1.451724 -546.667692
3.656929 2.210345 1.451724 -546.668625
3.732722 2.286207 1.451724 -546.669160
3.808519 2.362069 1.451724 -546.669454
3.884318 2.437931 1.451724 -546.669646
3.960119 2.513793 1.451724 -546.669763
4.035923 2.589655 1.451724 -546.669839
4.111728 2.665517 1.451724 -546.669877
4.187536 2.741379 1.451724 -546.669913
4.263346 2.817241 1.451724 -546.669937
4.339157 2.893103 1.451724 -546.669983
4.414971 2.968966 1.451724 -546.682972
4.490785 3.044828 1.451724 -546.697953
4.566602 3.120690 1.451724 -546.720529
4.642420 3.196552 1.451724 -546.724540
4.718239 3.272414 1.451724 -546.738366
4.794060 3.348276 1.451724 -546.740961
4.869882 3.424138 1.451724 -546.748697
4.945705 3.500000 1.451724 -546.755336
3.581063 2.058621 1.527586 -546.664014
3.656846 2.134483 1.527586 -546.666208
3.732632 2.210345 1.527586 -546.667813
3.808421 2.286207 1.527586 -546.668741
3.884213 2.362069 1.527586 -546.669235
3.960008 2.437931 1.527586 -546.669544
4.035805 2.513793 1.527586 -546.669698
4.111605 2.589655 1.527586 -546.669837
4.187407 2.665517 1.527586 -546.669898
4.263211 2.741379 1.527586 -546.669932
4.339017 2.817241 1.527586 -546.669958
4.414825 2.893103 1.527586 -546.669991
4.490635 2.968966 1.527586 -546.669992
4.566447 3.044828 1.527586 -546.682576
4.642260 3.120690 1.527586 -546.701357
4.718075 3.196552 1.527586 -546.718420
4.793891 3.272414 1.527586 -546.731682
4.869709 3.348276 1.527586 -546.744083
4.945528 3.424138 1.527586 -546.755233
5.021348 3.500000 1.527586 -546.764126
3.656781 2.058621 1.603448 -546.660593
3.732560 2.134483 1.603448 -546.664116
3.808342 2.210345 1.603448 -546.666515
3.884127 2.286207 1.603448 -546.668040
3.959914 2.362069 1.603448 -546.668832
4.035705 2.437931 1.603448 -546.669351
4.111498 2.513793 1.603448 -546.669605
4.187294 2.589655 1.603448 -546.669784
4.263092 2.665517 1.603448 -546.669889
4.338893 2.741379 1.603448 -546.669945
4.414695 2.817241 1.603448 -546.669969
4.490500 2.893103 1.603448 -546.669988
4.566306 2.968966 1.603448 -546.678644
4.642115 3.044828 1.603448 -546.685895
4.717925 3.120690 1.603448 -546.683253
4.793736 3.196552 1.603448 -546.702790
4.869550 3.272414 1.603448 -546.719766
4.945364 3.348276 1.603448 -546.732768
5.021180 3.424138 1.603448 -546.738326
5.096998 3.500000 1.603448 -546.754551
3.808280 2.134483 1.679310 -546.660296
3.884057 2.210345 1.679310 -546.664340
3.959838 2.286207 1.679310 -546.666674
4.035622 2.362069 1.679310 -546.667973
4.111408 2.437931 1.679310 -546.668901
4.187198 2.513793 1.679310 -546.669369
4.262990 2.589655 1.679310 -546.669668
4.338784 2.665517 1.679310 -546.669843
4.414581 2.741379 1.679310 -546.669928
4.490380 2.817241 1.679310 -546.669983
4.566181 2.893103 1.679310 -546.673477
4.641984 2.968966 1.679310 -546.680520
4.717789 3.044828 1.679310 -546.688282
4.793596 3.120690 1.679310 -546.699878
4.869404 3.196552 1.679310 -546.699079
4.945214 3.272414 1.679310 -546.702289
5.021026 3.348276 1.679310 -546.720023
5.096839 3.424138 1.679310 -546.722180
5.172654 3.500000 1.679310 -546.729478
3.959778 2.210345 1.755172 -546.661224
4.035555 2.286207 1.755172 -546.664896
4.111334 2.362069 1.755172 -546.666798
4.187117 2.437931 1.755172 -546.668195
4.262903 2.513793 1.755172 -546.668955
4.338691 2.589655 1.755172 -546.669474
4.414481 2.665517 1.755172 -546.669743
4.490275 2.741379 1.755172 -546.669888
