r1 r2 r3 energy
3.126575 1.831034 1.300000 -546.693321
3.202362 1.906897 1.300000 -546.696059
3.278153 1.982759 1.300000 -546.697528
3.353946 2.058621 1.300000 -546.698522
3.429743 2.134483 1.300000 -546.699072
3.505543 2.210345 1.300000 -546.699450
3.581345 2.286207 1.300000 -546.699670
3.657150 2.362069 1.300000 -546.699789
3.732957 2.437931 1.300000 -546.699876
3.808767 2.513793 1.300000 -546.699921
3.884578 2.589655 1.300000 -546.699946
3.960392 2.665517 1.300000 -546.699967
4.036207 2.741379 1.300000 -546.699982
4.112024 2.817241 1.300000 -546.699986
4.187842 2.893103 1.300000 -546.699991
4.263662 2.968966 1.300000 -546.721504
4.339484 3.044828 1.300000 -546.729255
4.415307 3.120690 1.300000 -546.736711
4.491131 3.196552 1.300000 -546.747856
4.566957 3.272414 1.300000 -546.756121
4.642783 3.348276 1.300000 -546.763757
4.718611 3.424138 1.300000 -546.770348
3.278070 1.906897 1.375862 -546.693625
3.353856 1.982759 1.375862 -546.696004
3.429645 2.058621 1.375862 -546.697687
3.505437 2.134483 1.375862 -546.698563
3.581232 2.210345 1.375862 -546.699196
3.657030 2.286207 1.375862 -546.699585
3.732831 2.362069 1.375862 -546.699755
3.808634 2.437931 1.375862 -546.699876
3.960247 2.589655 1.375862 -546.699993
4.036056 2.665517 1.375862 -546.712861
4.111868 2.741379 1.375862 -546.720675
4.187681 2.817241 1.375862 -546.735098
4.263496 2.893103 1.375862 -546.733926
4.339313 2.968966 1.375862 -546.734574
4.415131 3.044828 1.375862 -546.752240
4.490951 3.120690 1.375862 -546.763090
4.566772 3.196552 1.375862 -546.768044
4.642594 3.272414 1.375862 -546.777071
4.718418 3.348276 1.375862 -546.786064
4.794243 3.424138 1.375862 -546.795486
3.353786 1.906897 1.451724 -546.690259
3.429566 1.982759 1.451724 -546.693893
3.505351 2.058621 1.451724 -546.696437
3.581138 2.134483 1.451724 -546.697792
3.656929 2.210345 1.451724 -546.698757
3.732722 2.286207 1.451724 -546.699336
3.808519 2.362069 1.451724 -546.699655
3.884318 2.437931 1.451724 -546.699834
3.960119 2.513793 1.451724 -546.699938
4.035923 2.589655 1.451724 -546.699991
4.111728 2.665517 1.451724 -546.719483
4.187536 2.741379 1.451724 -546.732099
4.263346 2.817241 1.451724 -546.745406
4.339157 2.893103 1.451724 -546.755828
4.414971 2.968966 1.451724 -546.754370
4.490785 3.044828 1.451724 -546.752781
4.566602 3.120690 1.451724 -546.766723
4.642420 3.196552 1.451724 -546.777088
4.718239 3.272414 1.451724 -546.777933
4.794060 3.348276 1.451724 -546.786967
4.869882 3.424138 1.451724 -546.794579
4.945705 3.500000 1.451724 -546.802261
3.581063 2.058621 1.527586 -546.694161
3.656846 2.134483 1.527586 -546.696373
3.732632 2.210345 1.527586 -546.697901
3.808421 2.286207 1.527586 -546.698844
3.884213 2.362069 1.527586 -546.699369
3.960008 2.437931 1.527586 -546.699710
4.035805 2.513793 1.527586 -546.699876
4.111605 2.589655 1.527586 -546.699992
4.187407 2.665517 1.527586 -546.723555
4.263211 2.741379 1.527586 -546.734158
4.339017 2.817241 1.527586 -546.743920
4.414825 2.893103 1.527586 -546.756138
4.490635 2.968966 1.527586 -546.765300
4.566447 3.044828 1.527586 -546.761860
4.642260 3.120690 1.527586 -546.757553
4.718075 3.196552 1.527586 -546.765238
4.793891 3.272414 1.527586 -546.777504
4.869709 3.348276 1.527586 -546.779150
4.945528 3.424138 1.527586 -546.782710
5.021348 3.500000 1.527586 -546.790925
3.656781 2.058621 1.603448 -546.690742
3.732560 2.134483 1.603448 -546.694260
3.808342 2.210345 1.603448 -546.696662
3.884127 2.286207 1.603448 -546.698129
3.959914 2.362069 1.603448 -546.698912
4.035705 2.437931 1.603448 -546.699455
4.111498 2.513793 1.603448 -546.699740
4.187294 2.589655 1.603448 -546.699938
4.263092 2.665517 1.603448 -546.720067
4.338893 2.741379 1.603448 -546.744997
4.414695 2.817241 1.603448 -546.756206
4.490500 2.893103 1.603448 -546.759863
4.566306 2.968966 1.603448 -546.765353
4.642115 3.044828 1.603448 -546.767292
4.717925 3.120690 1.603448 -546.761148
4.793736 3.196552 1.603448 -546.754645
4.869550 3.272414 1.603448 -546.757489
4.945364 3.348276 1.603448 -546.767140
5.021180 3.424138 1.603448 -546.773375
5.096998 3.500000 1.603448 -546.777271
3.808280 2.134483 1.679310 -546.690442
3.884057 2.210345 1.679310 -546.694437
3.959838 2.286207 1.679310 -546.696798
4.035622 2.362069 1.679310 -546.698094
4.111408 2.437931 1.679310 -546.698983
4.187198 2.513793 1.679310 -546.699456
4.262990 2.589655 1.679310 -546.699782
4.338784 2.665517 1.679310 -546.699963
4.414581 2.741379 1.679310 -546.728470
4.490380 2.817241 1.679310 -546.756674
4.566181 2.893103 1.679310 -546.767777
4.641984 2.968966 1.679310 -546.771859
4.717789 3.044828 1.679310 -546.771871
4.793596 3.120690 1.679310 -546.768680
4.869404 3.196552 1.679310 -546.760090
4.945214 3.272414 1.679310 -546.751947
5.021026 3.348276 1.679310 -546.748762
5.096839 3.424138 1.679310 -546.752761
5.172654 3.500000 1.679310 -546.760586
3.959778 2.210345 1.755172 -546.691341
4.035555 2.286207 1.755172 -546.694956
4.111334 2.362069 1.755172 -546.696929
4.187117 2.437931 1.755172 -546.698324
4.262903 2.513793 1.755172 -546.699044
4.338691 2.589655 1.755172 -546.699548
