r1 r2 r3 energy
3.126575 1.831034 1.300000 -546.623249
3.202362 1.906897 1.300000 -546.625922
3.278153 1.982759 1.300000 -546.627363
3.353946 2.058621 1.300000 -546.628362
3.429743 2.134483 1.300000 -546.628900
3.505543 2.210345 1.300000 -546.629268
3.581345 2.286207 1.300000 -546.629486
3.657150 2.362069 1.300000 -546.629618
3.732957 2.437931 1.300000 -546.629692
3.808767 2.513793 1.300000 -546.629734
3.884578 2.589655 1.300000 -546.629781
3.960392 2.665517 1.300000 -546.629854
4.036207 2.741379 1.300000 -546.629912
4.112024 2.817241 1.300000 -546.629971
4.187842 2.893103 1.300000 -546.639860
4.263662 2.968966 1.300000 -546.645474
4.339484 3.044828 1.300000 -546.641560
4.415307 3.120690 1.300000 -546.668475
4.491131 3.196552 1.300000 -546.660224
4.566957 3.272414 1.300000 -546.652779
4.642783 3.348276 1.300000 -546.646234
4.718611 3.424138 1.300000 -546.646624
3.278070 1.906897 1.375862 -546.623512
3.353856 1.982759 1.375862 -546.625879
3.429645 2.058621 1.375862 -546.627558
3.505437 2.134483 1.375862 -546.628433
3.581232 2.210345 1.375862 -546.629031
3.657030 2.286207 1.375862 -546.629401
3.732831 2.362069 1.375862 -546.629581
3.808634 2.437931 1.375862 -546.629728
3.960247 2.589655 1.375862 -546.629842
4.036056 2.665517 1.375862 -546.629879
4.111868 2.741379 1.375862 -546.629919
4.187681 2.817241 1.375862 -546.629974
4.263496 2.893103 1.375862 -546.643076
4.339313 2.968966 1.375862 -546.677056
4.415131 3.044828 1.375862 -546.688392
4.490951 3.120690 1.375862 -546.695019
4.566772 3.196552 1.375862 -546.696487
4.642594 3.272414 1.375862 -546.708550
4.718418 3.348276 1.375862 -546.703984
4.794243 3.424138 1.375862 -546.704636
3.353786 1.906897 1.451724 -546.620041
3.429566 1.982759 1.451724 -546.623739
3.505351 2.058621 1.451724 -546.626296
3.581138 2.134483 1.451724 -546.627683
3.656929 2.210345 1.451724 -546.628632
3.732722 2.286207 1.451724 -546.629175
3.808519 2.362069 1.451724 -546.629476
3.884318 2.437931 1.451724 -546.629684
3.960119 2.513793 1.451724 -546.629791
4.035923 2.589655 1.451724 -546.629858
4.111728 2.665517 1.451724 -546.629908
4.187536 2.741379 1.451724 -546.629940
4.263346 2.817241 1.451724 -546.629971
4.339157 2.893103 1.451724 -546.630905
4.414971 2.968966 1.451724 -546.658779
4.490785 3.044828 1.451724 -546.685166
4.566602 3.120690 1.451724 -546.696923
4.642420 3.196552 1.451724 -546.709304
4.718239 3.272414 1.451724 -546.707789
4.794060 3.348276 1.451724 -546.720078
4.869882 3.424138 1.451724 -546.733285
4.945705 3.500000 1.451724 -546.744310
3.581063 2.058621 1.527586 -546.623921
3.656846 2.134483 1.527586 -546.626216
3.732632 2.210345 1.527586 -546.627793
3.808421 2.286207 1.527586 -546.628727
3.884213 2.362069 1.527586 -546.629219
3.960008 2.437931 1.527586 -546.629532
4.035805 2.513793 1.527586 -546.629741
4.111605 2.589655 1.527586 -546.629852
4.187407 2.665517 1.527586 -546.629909
4.263211 2.741379 1.527586 -546.629944
4.339017 2.817241 1.527586 -546.629977
4.414825 2.893103 1.527586 -546.633863
4.490635 2.968966 1.527586 -546.649077
4.566447 3.044828 1.527586 -546.662809
4.642260 3.120690 1.527586 -546.686504
4.718075 3.196552 1.527586 -546.700758
4.793891 3.272414 1.527586 -546.716954
4.869709 3.348276 1.527586 -546.722978
4.945528 3.424138 1.527586 -546.722389
5.021348 3.500000 1.527586 -546.721271
3.656781 2.058621 1.603448 -546.620494
3.732560 2.134483 1.603448 -546.623989
3.808342 2.210345 1.603448 -546.626523
3.884127 2.286207 1.603448 -546.627996
3.959914 2.362069 1.603448 -546.628796
4.035705 2.437931 1.603448 -546.629328
4.111498 2.513793 1.603448 -546.629587
4.187294 2.589655 1.603448 -546.629801
4.263092 2.665517 1.603448 -546.629907
4.338893 2.741379 1.603448 -546.629953
4.414695 2.817241 1.603448 -546.629984
4.490500 2.893103 1.603448 -546.631388
4.566306 2.968966 1.603448 -546.645571
4.642115 3.044828 1.603448 -546.660299
4.717925 3.120690 1.603448 -546.672205
4.793736 3.196552 1.603448 -546.686367
4.869550 3.272414 1.603448 -546.704316
4.945364 3.348276 1.603448 -546.718396
5.021180 3.424138 1.603448 -546.724286
5.096998 3.500000 1.603448 -546.722050
3.808280 2.134483 1.679310 -546.620252
3.884057 2.210345 1.679310 -546.624256
3.959838 2.286207 1.679310 -546.626659
4.035622 2.362069 1.679310 -546.627969
4.111408 2.437931 1.679310 -546.628872
4.187198 2.513793 1.679310 -546.629344
4.262990 2.589655 1.679310 -546.629676
4.338784 2.665517 1.679310 -546.629864
4.414581 2.741379 1.679310 -546.629948
4.490380 2.817241 1.679310 -546.629996
4.566181 2.893103 1.679310 -546.643491
4.641984 2.968966 1.679310 -546.652620
4.717789 3.044828 1.679310 -546.657021
4.793596 3.120690 1.679310 -546.661868
4.869404 3.196552 1.679310 -546.672712
4.945214 3.272414 1.679310 -546.686407
5.021026 3.348276 1.679310 -546.700887
5.096839 3.424138 1.679310 -546.712717
5.172654 3.500000 1.679310 -546.720502
3.959778 2.210345 1.755172 -546.621216
4.035555 2.286207 1.755172 -546.624849
4.111334 2.362069 1.755172 -546.626802
4.187117 2.437931 1.755172 -546.628210
4.262903 2.513793 1.755172 -546.628962
4.338691 2.589655 1.755172 -546.629468
4.414481 2.665517 1.755172 -546.629765
4.490275 2.741379 1.755172 -546.629913
4.566070 2.817241 1.755172 -546.629997
4.641868 2.893103 1.755172 -546.647641
4.717667 2.968966 1.755172 -546.663981
4.793469 3.044828 1.755172 -546.670512
4.869272 3.120690 1.755172 -546.671691
4.945078 3.196552 1.755172 -546.671185
5.020885 3.272414 1.755172 -546.678650
