r1 r2 r3 energy
3.384211 2.016949 5.383896 -546.786439
3.500000 2.016949 5.499470 -546.781540
3.384211 2.118644 5.485055 -546.780725
3.500000 2.118644 5.600615 -546.798789
3.500000 2.220339 5.701780 -546.796982
2.110526 3.440678 5.533334 -546.788104
1.415789 3.542373 4.944347 -546.792988
2.110526 3.542373 5.634832 -546.788534
2.226316 3.542373 5.750013 -546.796790
1.415789 3.644068 5.045932 -546.801245
1.531579 3.644068 5.160918 -546.788551
2.226316 3.644068 5.851505 -546.799790
2.342105 3.644068 5.966696 -546.802530
1.415789 3.745763 5.147520 -546.806488
1.531579 3.745763 5.262494 -546.796477
2.226316 3.745763 5.953003 -546.787488
2.342105 3.745763 6.068182 -546.805107
2.457895 3.745763 6.183383 -546.805357
1.300000 3.847458 5.134188 -546.781046
1.415789 3.847458 5.249113 -546.810011
1.531579 3.847458 5.364075 -546.800735
2.342105 3.847458 6.169675 -546.793282
2.457895 3.847458 6.284864 -546.810092
2.573684 3.847458 6.400075 -546.807254
1.300000 3.949153 5.235796 -546.783138
1.415789 3.949153 5.350709 -546.812802
1.531579 3.949153 5.465659 -546.804285
1.647368 3.949153 5.580644 -546.781832
2.457895 3.949153 6.386351 -546.797104
2.573684 3.949153 6.501550 -546.812176
2.689474 3.949153 6.616770 -546.809381
1.300000 4.050847 5.337408 -546.784427
1.415789 4.050847 5.452310 -546.814605
1.531579 4.050847 5.567248 -546.806673
1.647368 4.050847 5.682221 -546.784777
2.573684 4.050847 6.603032 -546.799635
2.689474 4.050847 6.718240 -546.814712
2.805263 4.050847 6.833468 -546.809065
1.300000 4.152542 5.439023 -546.785318
1.415789 4.152542 5.553913 -546.815871
1.531579 4.152542 5.668840 -546.808390
1.647368 4.152542 5.783802 -546.787132
2.573684 4.152542 6.704521 -546.783439
2.689474 4.152542 6.819717 -546.803486
2.805263 4.152542 6.934934 -546.816616
2.921053 4.152542 7.050169 -546.809029
1.300000 4.254237 5.540640 -546.785969
1.415789 4.254237 5.655520 -546.816805
1.531579 4.254237 5.770437 -546.809679
1.647368 4.254237 5.885387 -546.788988
2.689474 4.254237 6.921201 -546.786868
2.805263 4.254237 7.036406 -546.806251
2.921053 4.254237 7.151630 -546.817432
3.036842 4.254237 7.266872 -546.807858
1.300000 4.355932 5.642261 -546.786435
1.415789 4.355932 5.757130 -546.817473
1.531579 4.355932 5.872036 -546.810609
1.647368 4.355932 5.986976 -546.790347
3.036842 4.355932 7.368329 -546.818254
3.152632 4.355932 7.483578 -546.808773
1.300000 4.457627 5.743884 -546.786768
1.415789 4.457627 5.858743 -546.817947
1.531579 4.457627 5.973639 -546.811266
1.647368 4.457627 6.088568 -546.791293
3.152632 4.457627 7.585031 -546.818707
3.268421 4.457627 7.700286 -546.805816
1.300000 4.559322 5.845509 -546.787023
1.415789 4.559322 5.960359 -546.818305
1.531579 4.559322 6.075245 -546.811759
1.647368 4.559322 6.190164 -546.791976
3.152632 4.559322 7.686491 -546.810064
3.268421 4.559322 7.801736 -546.819041
3.384211 4.559322 7.916996 -546.806828
1.300000 4.661017 5.947137 -546.787221
1.415789 4.661017 6.061978 -546.818574
1.531579 4.661017 6.176853 -546.812124
1.647368 4.661017 6.291763 -546.792446
3.268421 4.661017 7.903192 -546.811487
3.384211 4.661017 8.018442 -546.819266
3.500000 4.661017 8.133708 -546.805406
1.300000 4.762712 6.048767 -546.787376
1.415789 4.762712 6.163599 -546.818778
1.531579 4.762712 6.278465 -546.812394
3.384211 4.762712 8.119895 -546.812213
3.500000 4.762712 8.235151 -546.819295
1.300000 4.864407 6.150400 -546.787507
1.415789 4.864407 6.265222 -546.818946
1.531579 4.864407 6.380079 -546.812610
3.384211 4.864407 8.221353 -546.797032
3.500000 4.864407 8.336600 -546.813323
1.300000 4.966102 6.252034 -546.787618
1.415789 4.966102 6.366848 -546.819083
1.531579 4.966102 6.481696 -546.812782
3.500000 4.966102 8.438054 -546.798583
1.300000 5.067797 6.353670 -546.787713
1.415789 5.067797 6.468475 -546.819197
1.531579 5.067797 6.583315 -546.812920
3.500000 5.067797 8.539515 -546.780555
1.300000 5.169492 6.455308 -546.787798
1.415789 5.169492 6.570105 -546.819297
1.647368 5.169492 6.799800 -546.793283
1.300000 5.271186 6.556948 -546.787875
1.415789 5.271186 6.671737 -546.819385
1.647368 5.271186 6.901415 -546.793325
1.300000 5.372881 6.658590 -546.787943
1.647368 5.372881 7.003033 -546.793352
1.300000 5.474576 6.760233 -546.788007
1.415789 5.474576 6.875007 -546.819378
