r1 r2 r3 energy
3.500000 1.203390 4.691161 -546.782378
3.268421 1.915254 5.167179 -546.785256
3.384211 1.915254 5.282757 -546.783118
3.384211 2.016949 5.383896 -546.797050
3.500000 2.016949 5.499470 -546.790160
3.384211 2.118644 5.485055 -546.787847
3.500000 2.118644 5.600615 -546.804990
3.500000 2.220339 5.701780 -546.800909
1.994737 3.338983 5.316662 -546.781569
1.415789 3.440678 4.842768 -546.787118
2.110526 3.440678 5.533334 -546.790701
1.415789 3.542373 4.944347 -546.794690
1.531579 3.542373 5.059347 -546.784996
2.110526 3.542373 5.634832 -546.792357
2.226316 3.542373 5.750013 -546.798855
1.415789 3.644068 5.045932 -546.802299
1.531579 3.644068 5.160918 -546.791173
2.226316 3.644068 5.851505 -546.802282
2.342105 3.644068 5.966696 -546.804573
1.415789 3.745763 5.147520 -546.807587
1.531579 3.745763 5.262494 -546.797865
2.226316 3.745763 5.953003 -546.790055
2.342105 3.745763 6.068182 -546.807361
2.457895 3.745763 6.183383 -546.807131
1.300000 3.847458 5.134188 -546.782177
1.415789 3.847458 5.249113 -546.811160
1.531579 3.847458 5.364075 -546.802044
2.342105 3.847458 6.169675 -546.796112
2.457895 3.847458 6.284864 -546.811974
2.573684 3.847458 6.400075 -546.808969
1.300000 3.949153 5.235796 -546.784471
1.415789 3.949153 5.350709 -546.814143
1.531579 3.949153 5.465659 -546.805729
1.647368 3.949153 5.580644 -546.785121
2.457895 3.949153 6.386351 -546.799221
2.573684 3.949153 6.501550 -546.814031
2.689474 3.949153 6.616770 -546.811125
1.300000 4.050847 5.337408 -546.785888
1.415789 4.050847 5.452310 -546.816098
1.531579 4.050847 5.567248 -546.808279
1.647368 4.050847 5.682221 -546.790529
2.457895 4.050847 6.487845 -546.784518
2.573684 4.050847 6.603032 -546.801560
2.689474 4.050847 6.718240 -546.816583
2.805263 4.050847 6.833468 -546.810827
1.300000 4.152542 5.439023 -546.786846
1.415789 4.152542 5.553913 -546.817459
