r1 r2 r3 energy
3.126575 1.831034 1.300000 -546.713553
3.202362 1.906897 1.300000 -546.716123
3.278153 1.982759 1.300000 -546.717532
3.353946 2.058621 1.300000 -546.718538
3.429743 2.134483 1.300000 -546.719087
3.505543 2.210345 1.300000 -546.719460
3.581345 2.286207 1.300000 -546.719662
3.657150 2.362069 1.300000 -546.719793
3.732957 2.437931 1.300000 -546.719877
3.808767 2.513793 1.300000 -546.719919
3.884578 2.589655 1.300000 -546.719942
3.960392 2.665517 1.300000 -546.719953
4.036207 2.741379 1.300000 -546.719968
4.112024 2.817241 1.300000 -546.719974
4.187842 2.893103 1.300000 -546.722363
4.263662 2.968966 1.300000 -546.732048
4.339484 3.044828 1.300000 -546.753632
4.415307 3.120690 1.300000 -546.780859
4.491131 3.196552 1.300000 -546.799425
4.566957 3.272414 1.300000 -546.809202
4.642783 3.348276 1.300000 -546.817221
4.718611 3.424138 1.300000 -546.822533
3.278070 1.906897 1.375862 -546.713800
3.353856 1.982759 1.375862 -546.716059
3.429645 2.058621 1.375862 -546.717683
3.505437 2.134483 1.375862 -546.718577
3.581232 2.210345 1.375862 -546.719206
3.657030 2.286207 1.375862 -546.719573
3.732831 2.362069 1.375862 -546.719741
3.808634 2.437931 1.375862 -546.719882
3.960247 2.589655 1.375862 -546.719995
4.036056 2.665517 1.375862 -546.732368
4.111868 2.741379 1.375862 -546.737545
4.187681 2.817241 1.375862 -546.743880
4.263496 2.893103 1.375862 -546.743950
4.339313 2.968966 1.375862 -546.753970
4.415131 3.044828 1.375862 -546.771206
4.490951 3.120690 1.375862 -546.784573
4.566772 3.196552 1.375862 -546.808140
4.642594 3.272414 1.375862 -546.820598
4.718418 3.348276 1.375862 -546.830438
4.794243 3.424138 1.375862 -546.837198
3.353786 1.906897 1.451724 -546.710453
3.429566 1.982759 1.451724 -546.714001
3.505351 2.058621 1.451724 -546.716450
3.581138 2.134483 1.451724 -546.717799
3.656929 2.210345 1.451724 -546.718768
3.732722 2.286207 1.451724 -546.719341
3.808519 2.362069 1.451724 -546.719641
3.884318 2.437931 1.451724 -546.719818
3.960119 2.513793 1.451724 -546.719935
4.035923 2.589655 1.451724 -546.721103
4.111728 2.665517 1.451724 -546.745235
4.187536 2.741379 1.451724 -546.756525
4.263346 2.817241 1.451724 -546.761851
4.339157 2.893103 1.451724 -546.764550
4.414971 2.968966 1.451724 -546.763963
4.490785 3.044828 1.451724 -546.765428
4.566602 3.120690 1.451724 -546.783597
4.642420 3.196552 1.451724 -546.790469
4.718239 3.272414 1.451724 -546.807039
4.794060 3.348276 1.451724 -546.822281
4.869882 3.424138 1.451724 -546.829961
4.945705 3.500000 1.451724 -546.836659
3.505283 1.982759 1.527586 -546.710103
3.581063 2.058621 1.527586 -546.714218
3.656846 2.134483 1.527586 -546.716376
3.732632 2.210345 1.527586 -546.717921
3.808421 2.286207 1.527586 -546.718851
3.884213 2.362069 1.527586 -546.719371
3.960008 2.437931 1.527586 -546.719697
4.035805 2.513793 1.527586 -546.719849
4.111605 2.589655 1.527586 -546.719979
4.187407 2.665517 1.527586 -546.743991
