r1 r2 r3 energy
2.342105 3.847458 6.169675 -546.784903
1.647368 3.949153 5.580644 -546.782405
2.457895 3.949153 6.386351 -546.789950
1.531579 4.050847 5.567248 -546.782624
1.647368 4.050847 5.682221 -546.785436
2.457895 4.050847 6.487845 -546.780616
2.573684 4.050847 6.603032 -546.793038
1.531579 4.152542 5.668840 -546.784727
1.647368 4.152542 5.783802 -546.787705
2.573684 4.152542 6.704521 -546.783951
2.689474 4.152542 6.819717 -546.792675
1.531579 4.254237 5.770437 -546.786275
1.647368 4.254237 5.885387 -546.789444
2.689474 4.254237 6.921201 -546.787251
2.805263 4.254237 7.036406 -546.792759
1.531579 4.355932 5.872036 -546.787357
1.647368 4.355932 5.986976 -546.790701
1.531579 4.457627 5.973639 -546.788086
1.647368 4.457627 6.088568 -546.791569
1.531579 4.559322 6.075245 -546.788605
1.647368 4.559322 6.190164 -546.792191
3.152632 4.559322 7.686491 -546.792035
1.531579 4.661017 6.176853 -546.788959
1.647368 4.661017 6.291763 -546.792616
3.268421 4.661017 7.903192 -546.790810
1.531579 4.762712 6.278465 -546.789194
3.384211 4.762712 8.119895 -546.790202
1.531579 4.864407 6.380079 -546.789360
3.384211 4.864407 8.221353 -546.797507
3.500000 4.864407 8.336600 -546.788831
1.531579 4.966102 6.481696 -546.789474
3.500000 4.966102 8.438054 -546.799041
1.531579 5.067797 6.583315 -546.789550
3.500000 5.067797 8.539515 -546.780618
1.647368 5.169492 6.799800 -546.793344
1.647368 5.271186 6.901415 -546.793377
1.647368 5.372881 7.003033 -546.793396
1.647368 5.474576 7.104653 -546.793407
1.647368 5.576271 7.206275 -546.793413
1.531579 5.677966 7.193075 -546.789718
1.647368 5.677966 7.307899 -546.793414
1.531579 5.779661 7.294708 -546.789728
1.647368 5.779661 7.409524 -546.793414
1.531579 5.881356 7.396343 -546.789736
1.647368 5.881356 7.511152 -546.793413
1.531579 5.983051 7.497980 -546.789744
1.647368 5.983051 7.612782 -546.793582
1.531579 6.084746 7.599618 -546.789751
1.647368 6.084746 7.714413 -546.793580
1.531579 6.186441 7.701258 -546.789759
1.647368 6.186441 7.816046 -546.793580
1.531579 6.288136 7.802899 -546.789766
1.647368 6.288136 7.917680 -546.793581
1.531579 6.389831 7.904542 -546.789773
1.647368 6.389831 8.019316 -546.793582
1.531579 6.491525 8.006185 -546.789780
1.647368 6.491525 8.120954 -546.793584
1.531579 6.593220 8.107830 -546.789787
1.647368 6.593220 8.222593 -546.793587
1.531579 6.694915 8.209477 -546.789794
1.647368 6.694915 8.324233 -546.793591
1.531579 6.796610 8.311124 -546.789801
1.647368 6.796610 8.425875 -546.793595
1.531579 6.898305 8.412773 -546.789808
1.647368 6.898305 8.527517 -546.793599
1.531579 7.000000 8.514423 -546.789815
1.647368 7.000000 8.629162 -546.793604
3.500000 2.220339 5.646251 -546.789035
2.342105 3.644068 5.908417 -546.785190
2.457895 3.644068 6.021905 -546.783276
2.457895 3.745763 6.122718 -546.788661
1.531579 3.847458 5.319349 -546.780992
1.647368 3.847458 5.431968 -546.782744
1.531579 3.949153 5.420607 -546.783849
1.647368 3.949153 5.533177 -546.785969
1.647368 4.050847 5.634405 -546.787970
1.531579 4.559322 6.028463 -546.789147
1.647368 4.559322 6.140772 -546.792673
1.531579 4.661017 6.129817 -546.789335
1.647368 4.661017 6.242087 -546.792948
1.531579 4.762712 6.231182 -546.789459
1.531579 4.864407 6.332558 -546.789545
1.531579 4.966102 6.433943 -546.789603
1.647368 4.966102 6.546102 -546.793318
1.647368 5.067797 6.647462 -546.793364
1.647368 5.169492 6.748832 -546.793393
1.531579 5.881356 7.346800 -546.789748
1.531579 5.983051 7.448265 -546.789755
1.531579 6.084746 7.549736 -546.789762
1.647368 6.084746 7.661550 -546.793582
1.531579 6.186441 7.651213 -546.789768
1.647368 6.186441 7.763000 -546.793582
1.531579 6.288136 7.752696 -546.789775
1.647368 6.288136 7.864457 -546.793583
1.531579 6.389831 7.854184 -546.789781
1.647368 6.389831 7.965919 -546.793585
1.531579 6.491525 7.955677 -546.789788
1.647368 6.491525 8.067387 -546.793588
1.531579 6.593220 8.057176 -546.789795
1.647368 6.593220 8.168861 -546.793591
1.531579 6.694915 8.158679 -546.789801
1.647368 6.694915 8.270341 -546.793595
1.531579 6.796610 8.260188 -546.789808
1.647368 6.796610 8.371825 -546.793599
1.531579 6.898305 8.361700 -546.789815
1.647368 6.898305 8.473315 -546.793604
1.531579 7.000000 8.463217 -546.789821
1.647368 7.000000 8.574809 -546.793608
3.036842 2.118644 5.002810 -546.785487
3.036842 2.220339 5.100253 -546.784829
3.152632 2.220339 5.213585 -546.789198
3.036842 2.322034 5.197859 -546.780975
3.152632 2.322034 5.311058 -546.795154
3.268421 2.322034 5.424366 -546.784773
3.152632 2.423729 5.408686 -546.791598
3.268421 2.423729 5.521866 -546.793761
3.152632 2.525424 5.506461 -546.788320
3.268421 2.525424 5.619515 -546.799158
3.384211 2.525424 5.732679 -546.786718
3.268421 2.627119 5.717306 -546.799441
3.384211 2.627119 5.830347 -546.792001
3.268421 2.728814 5.815230 -546.798156
3.384211 2.728814 5.928151 -546.796305
3.500000 2.728814 6.041181 -546.781683
3.384211 2.830508 6.026083 -546.798928
3.500000 2.830508 6.138997 -546.785571
2.689474 3.135593 5.647883 -546.780155
3.384211 3.135593 6.320594 -546.800173
3.384211 3.237288 6.418984 -546.797382
3.384211 3.338983 6.517475 -546.793049
3.384211 3.440678 6.616063 -546.788072
3.384211 3.542373 6.714744 -546.781323
1.647368 3.644068 5.152886 -546.780678
1.531579 3.745763 5.144651 -546.783091
1.647368 3.745763 5.253419 -546.784351
1.531579 4.762712 6.153027 -546.789679
1.531579 4.864407 6.254018 -546.789698
1.531579 6.389831 7.771078 -546.789792
1.531579 6.491525 7.872331 -546.789799
1.647368 6.491525 7.978959 -546.793593
1.531579 6.593220 7.973594 -546.789805
1.647368 6.593220 8.080168 -546.793597
1.531579 6.694915 8.074869 -546.789812
1.647368 6.694915 8.181389 -546.793601
1.531579 6.796610 8.176154 -546.789818
1.647368 6.796610 8.282622 -546.793606
1.531579 6.898305 8.277448 -546.789824
1.647368 6.898305 8.383866 -546.793610
1.531579 7.000000 8.378753 -546.789830
1.647368 7.000000 8.485120 -546.793615
1.531579 6.694915 7.959333 -546.789823
1.531579 6.796610 8.060325 -546.789828
1.647368 6.796610 8.159595 -546.793614
1.531579 6.898305 8.161333 -546.789834
1.647368 6.898305 8.260515 -546.793619
1.531579 7.000000 8.262358 -546.789840
1.647368 7.000000 8.361453 -546.793624
1.531579 3.237288 4.420624 -546.781766
1.531579 7.000000 8.115915 -546.789850
1.531579 2.830508 3.885835 -546.781435
1.531579 7.000000 7.743315 -546.789871
1.647368 3.338983 4.069795 -546.792954
1.647368 3.440678 4.163525 -546.793116
1.531579 3.542373 4.190211 -546.790098
1.647368 3.542373 4.257621 -546.793215
1.531579 3.644068 4.285459 -546.790010
1.531579 6.796610 7.324645 -546.789871
1.647368 6.796610 7.375968 -546.789725
1.531579 6.898305 7.424258 -546.789876
1.647368 6.898305 7.475283 -546.793662
1.531579 7.000000 7.523926 -546.789880
1.647368 7.000000 7.574661 -546.793665
1.531579 6.491525 6.791737 -546.789867
1.647368 6.491525 6.827878 -546.793656
1.531579 6.593220 6.890868 -546.789871
1.531579 6.694915 6.990073 -546.789876
1.531579 6.796610 7.089349 -546.789880
1.531579 6.898305 7.188692 -546.789884
1.531579 7.000000 7.288101 -546.789888
1.647368 2.525424 2.899048 -546.789951
1.647368 2.627119 2.983420 -546.791289
1.647368 2.728814 3.068843 -546.791670
1.531579 6.084746 6.150667 -546.789857
1.531579 6.186441 6.249232 -546.789862
1.531579 6.288136 6.347895 -546.789867
1.647368 6.288136 6.367387 -546.789725
1.531579 6.389831 6.446653 -546.789872
1.531579 6.491525 6.545501 -546.789876
1.531579 6.593220 6.644435 -546.789880
1.531579 6.694915 6.743450 -546.789884
