r1 r2 r3 energy
2.457895 1.101695 3.549199 -546.793247
2.573684 1.101695 3.664842 -546.822827
2.689474 1.101695 3.780494 -546.831390
2.805263 1.101695 3.896154 -546.826936
2.921053 1.101695 4.011822 -546.819520
3.036842 1.101695 4.127497 -546.809759
3.152632 1.101695 4.243177 -546.802718
3.268421 1.101695 4.358864 -546.796804
3.384211 1.101695 4.474556 -546.792548
3.500000 1.101695 4.590252 -546.789421
2.573684 1.203390 3.765874 -546.828674
2.689474 1.203390 3.881508 -546.851996
2.805263 1.203390 3.997151 -546.852750
2.921053 1.203390 4.112802 -546.844910
3.036842 1.203390 4.228461 -546.831543
3.152632 1.203390 4.344127 -546.822505
3.268421 1.203390 4.459799 -546.814498
3.384211 1.203390 4.575477 -546.809215
3.500000 1.203390 4.691161 -546.805020
2.573684 1.305085 3.866940 -546.783315
2.689474 1.305085 3.982556 -546.840757
2.805263 1.305085 4.098182 -546.854749
2.921053 1.305085 4.213817 -546.849833
3.036842 1.305085 4.329459 -546.837409
3.152632 1.305085 4.445110 -546.824876
3.268421 1.305085 4.560768 -546.810751
3.384211 1.305085 4.676432 -546.803587
3.500000 1.305085 4.792102 -546.798085
2.689474 1.406780 4.083637 -546.794274
2.805263 1.406780 4.199245 -546.839708
2.921053 1.406780 4.314863 -546.846049
3.036842 1.406780 4.430490 -546.835753
3.152632 1.406780 4.546125 -546.821457
3.268421 1.406780 4.661768 -546.806426
3.384211 1.406780 4.777418 -546.795503
3.500000 1.406780 4.893075 -546.786689
2.805263 1.508475 4.300338 -546.797028
2.921053 1.508475 4.415939 -546.830831
3.036842 1.508475 4.531550 -546.832657
3.152632 1.508475 4.647170 -546.819993
3.268421 1.508475 4.762798 -546.802278
3.384211 1.508475 4.878434 -546.788079
2.921053 1.610169 4.517043 -546.793209
3.036842 1.610169 4.632638 -546.821087
3.268421 1.610169 4.863856 -546.803366
3.384211 1.610169 4.979477 -546.787272
3.036842 1.711864 4.733752 -546.814470
3.152632 1.711864 4.849341 -546.824137
3.268421 1.711864 4.964939 -546.814447
3.384211 1.711864 5.080547 -546.798244
3.500000 1.711864 5.196162 -546.781011
3.036842 1.813559 4.834890 -546.800355
3.152632 1.813559 4.950464 -546.840512
3.384211 1.813559 5.181640 -546.829908
3.500000 1.813559 5.297242 -546.809059
3.152632 1.915254 5.051610 -546.828087
3.268421 1.915254 5.167179 -546.862674
3.384211 1.915254 5.282757 -546.859996
3.500000 1.915254 5.398345 -546.867628
3.268421 2.016949 5.268332 -546.852144
3.384211 2.016949 5.383896 -546.875878
3.500000 2.016949 5.499470 -546.868570
3.268421 2.118644 5.369505 -546.796353
3.384211 2.118644 5.485055 -546.867302
3.500000 2.118644 5.600615 -546.884449
3.384211 2.220339 5.586234 -546.817118
3.500000 2.220339 5.701780 -546.880590
3.500000 2.322034 5.802964 -546.839914
1.300000 2.728814 4.016786 -546.798453
1.415789 2.728814 4.131870 -546.816994
1.300000 2.830508 4.118341 -546.801227
1.415789 2.830508 4.233407 -546.841004
1.531579 2.830508 4.348512 -546.824024
1.300000 2.932203 4.219901 -546.803357
1.415789 2.932203 4.334951 -546.842759
1.531579 2.932203 4.450040 -546.846342
1.647368 2.932203 4.565163 -546.820757
1.300000 3.033898 4.321469 -546.808715
1.415789 3.033898 4.436503 -546.833955
1.531579 3.033898 4.551575 -546.848049
1.647368 3.033898 4.666683 -546.835564
1.763158 3.033898 4.781823 -546.827927
1.300000 3.135593 4.423042 -546.811046
1.415789 3.135593 4.538060 -546.825770
1.531579 3.135593 4.653117 -546.838136
1.647368 3.135593 4.768209 -546.837638
1.763158 3.135593 4.883335 -546.832095
1.878947 3.135593 4.998491 -546.828288
1.300000 3.237288 4.524620 -546.812456
1.415789 3.237288 4.639624 -546.827605
1.531579 3.237288 4.754666 -546.824763
1.647368 3.237288 4.869743 -546.830283
1.763158 3.237288 4.984854 -546.823554
1.878947 3.237288 5.099995 -546.836864
1.994737 3.237288 5.215164 -546.828349
1.300000 3.338983 4.626204 -546.819526
1.415789 3.338983 4.741193 -546.836620
1.531579 3.338983 4.856221 -546.819573
1.647368 3.338983 4.971284 -546.817622
1.763158 3.338983 5.086379 -546.816165
1.878947 3.338983 5.201506 -546.828162
1.994737 3.338983 5.316662 -546.845015
2.110526 3.338983 5.431844 -546.829215
1.300000 3.440678 4.727792 -546.832250
1.415789 3.440678 4.842768 -546.853545
1.531579 3.440678 4.957781 -546.835488
1.647368 3.440678 5.072830 -546.810546
1.763158 3.440678 5.187912 -546.814718
1.878947 3.440678 5.303025 -546.820017
1.994737 3.440678 5.418166 -546.845560
2.110526 3.440678 5.533334 -546.861212
2.226316 3.440678 5.648528 -546.836098
1.300000 3.542373 4.829385 -546.841543
1.415789 3.542373 4.944347 -546.865906
1.531579 3.542373 5.059347 -546.849513
1.647368 3.542373 5.174383 -546.819964
