r1 r2 r3 energy
2.805263 1.101695 3.896154 -546.783514
2.921053 1.101695 4.011822 -546.800376
3.036842 1.101695 4.127497 -546.802776
3.152632 1.101695 4.243177 -546.799378
3.268421 1.101695 4.358864 -546.795249
3.384211 1.101695 4.474556 -546.791995
3.500000 1.101695 4.590252 -546.789398
2.805263 1.203390 3.997151 -546.784588
2.921053 1.203390 4.112802 -546.802069
3.036842 1.203390 4.228461 -546.815428
3.152632 1.203390 4.344127 -546.815700
3.268421 1.203390 4.459799 -546.811101
3.384211 1.203390 4.575477 -546.807340
3.500000 1.203390 4.691161 -546.804089
2.805263 1.305085 4.098182 -546.785666
2.921053 1.305085 4.213817 -546.790031
3.036842 1.305085 4.329459 -546.798570
3.152632 1.305085 4.445110 -546.805657
3.268421 1.305085 4.560768 -546.802580
3.384211 1.305085 4.676432 -546.798657
3.500000 1.305085 4.792102 -546.794623
2.805263 1.406780 4.199245 -546.781441
2.921053 1.406780 4.314863 -546.790948
3.036842 1.406780 4.430490 -546.787723
3.152632 1.406780 4.546125 -546.786687
3.268421 1.406780 4.661768 -546.788190
3.384211 1.406780 4.777418 -546.785077
2.921053 1.508475 4.415939 -546.792871
3.036842 1.508475 4.531550 -546.795482
3.152632 1.508475 4.647170 -546.785941
3.036842 1.610169 4.632638 -546.800668
3.268421 1.610169 4.863856 -546.785123
3.036842 1.711864 4.733752 -546.795891
3.152632 1.711864 4.849341 -546.804264
3.268421 1.711864 4.964939 -546.797804
3.384211 1.711864 5.080547 -546.787096
3.036842 1.813559 4.834890 -546.785805
3.152632 1.813559 4.950464 -546.824300
3.384211 1.813559 5.181640 -546.817872
3.500000 1.813559 5.297242 -546.802542
3.152632 1.915254 5.051610 -546.814294
3.268421 1.915254 5.167179 -546.850045
3.384211 1.915254 5.282757 -546.849069
3.500000 1.915254 5.398345 -546.793921
3.268421 2.016949 5.268332 -546.842224
3.384211 2.016949 5.383896 -546.866922
3.500000 2.016949 5.499470 -546.861239
3.268421 2.118644 5.369505 -546.788872
3.384211 2.118644 5.485055 -546.860986
3.500000 2.118644 5.600615 -546.878967
3.384211 2.220339 5.586234 -546.812621
3.500000 2.220339 5.701780 -546.877047
3.500000 2.322034 5.802964 -546.837371
1.300000 2.728814 4.016786 -546.788141
1.415789 2.728814 4.131870 -546.805416
1.300000 2.830508 4.118341 -546.809020
